Ссылка,МО
https://vk.com/vladimokrug,Владимирский округ
https://vk.com/clubrubinshteina,Владимирский округ
https://vk.com/vladimokspb,Владимирский округ
https://vk.com/liteyny_life,Литейный округ
https://vk.com/liteynyokrug,Литейный округ
https://vk.com/moliteiny,Литейный округ
https://vk.com/ligovkayamskaya,Лиговка-Ямская
https://vk.com/mo_ligovka,Лиговка-Ямская
https://vk.com/sergei_iljin_deputat,Лиговка-Ямская
https://vk.com/smolny1703,Смольнинское
https://vk.com/smolninskoe_online,Смольнинское
https://vk.com/club58864300,Смольнинское
https://vk.com/mo.mo78,Муниципальный округ № 78
https://vk.com/dvortsovy_okrug,Дворцовый округ
https://vk.com/nasha_kamenka,"Коломяги, Юнтолово"
https://vk.com/kamenka_komenda,"Коломяги, Юнтолово"
https://vk.com/za_kolomyagi,Коломяги
https://vk.com/loveklm,Коломяги
https://vk.com/mokolomjagi,Коломяги
https://vk.com/mcmokolomyagi,Коломяги
https://vk.com/lisiy_nos,Лисий Нос
https://vk.com/molisiynos,Лисий Нос
https://vk.com/untolovo,Юнтолово
https://vk.com/mountolovo,Юнтолово
https://vk.com/comendan,Комендантский аэродром
https://vk.com/public157189477,Комендантский аэродром
https://vk.com/ozerodolgoe,Озеро Долгое
https://vk.com/ozerodolgoemo,Озеро Долгое
https://vk.com/chernaya_rechka_24,Ланское (Черная речка)
https://vk.com/chernaiyarechka,Ланское (Черная речка)
https://vk.com/mo.lanskoe,Ланское (Черная речка)
https://vk.com/momo65,Муниципальный округ № 65
https://vk.com/msmo_65,Муниципальный округ № 65
https://vk.com/mo_lahtaolgino,Лахта-Ольгино
https://vk.com/npargolovo,Парголово
https://vk.com/pargolovo_city,Парголово
https://vk.com/spd_pargolovo,Парголово
https://vk.com/pargolovomo,Парголово
https://vk.com/club62972,Левашово
https://vk.com/molevashovo,Левашово
https://vk.com/shuvalovo_ozerki,Шувалово-Озерки
https://vk.com/mo_shuvalovoozerki,Шувалово-Озерки
https://vk.com/mo_svetlanovskoe,Светлановское
https://vk.com/public67408379,Светлановское
https://vk.com/sampsonievskoe,Сампсониевское
https://vk.com/mo12_spb,Сампсониевское
https://vk.com/sdnovosti,Парнас
https://vk.com/severnajadolina,Парнас
https://vk.com/public202443892,Парнас (Сергиевское)
https://vk.com/mo15vub,Муниципальное образование № 15
https://vk.com/mososnovskoe,Сосновское
https://vk.com/novayamalayaokhta,Малая Охта
https://vk.com/m.ohta,Малая Охта
https://vk.com/momoohta,Малая Охта
https://vk.com/mamoohta,Малая Охта
https://vk.com/club65324956,Пороховые
https://vk.com/mo.porohovie,Пороховые
https://vk.com/ms.porohovie,Пороховые
https://vk.com/rjevka_com,Ржевка
https://vk.com/rjevkaclub,Ржевка
https://vk.com/ohta4people,Большая Охта
https://vk.com/mobohta,Большая Охта
