text;tag
15.12.2022 завершился очередной мастер класс по росписи новогодней игрушки. Продолжаем поднимать новогоднее настроение🎄🎉;0
Приём заместителя прокурора Санкт-Петербурга16 декабря 2022 года с 15:00 до 16:45 заместитель прокурора Санкт-Петербурга Юрасов А.Г. проведёт личный приём граждан.Приём состоится: Пражская ул, д.46, прокуратура Фрунзенского района.Запись по телефону: 708-81-18.При себе заявителям необходимо иметь документ, удостоверяющий личность.;0
13.12.2022 завершился очередной мастер класс по росписи новогодней игрушки. Продолжаем поднимать новогоднее настроение🎄🎉;0
12.12.2022 г. в помещении МО Балканский прошел очередной мастер-класс по росписи новогодних шаров.;0
08.12.2022 в помещении МО Балканский прошел мастер-класс по росписи новогодних шаров. Все участники смогли почувствовать себя в роли художника и собственноручно расписали ёлочные шары, а также погрузились в атмосферу праздника. Каждый участник создал свой неповторимый шедевр, и по завершении мастер- класса унес домой хорошее настроение и неповторимую новогоднюю игрушку.;0
Уважаемые жители, билеты  на детское новогоднее представление «ВОЛШЕБНОЕ ЗЕРКАЛО ДЕДА МОРОЗА» закончились !!!;0
"📌Приглашаем взрослых и детей старше 7 лет на новогодний мастер-класс ""Роспись новогоднего елочного шарика»📍Где? в помещении МА МО Балканский по адресу : ул. Купчинская дом 32 🗓Когда? 12.12.22, 13.12.22, 14.12.22 в 16-00 🎄 Новый год - пора подарков и сюрпризов, шумного веселья, счастья и, конечно, исполнения желаний! Самым известным украшением ёлки и дома к празднику являются новогодние шары! К тому же это замечательный подарок, тем более, когда сделан своими руками. С удовольствием приглашаем Вас и ваших детишек окунуться в мир волшебного превращения! Длительность мастер- класса 1 час  Количество участников на один мастер класс 20 человек. Записаться на мастер-класс можно по телефону 244-50-83";0
Приглашаем жителей муниципального округа Балканский для получения бесплатных билетов с подарком в ДК Ленсовета , на детское новогоднее представление «ВОЛШЕБНОЕ ЗЕРКАЛО ДЕДА МОРОЗА», которое состоится 21 декабря 13:30. Рекомендуемый возраст детей от 0 до 12-и лет. Выдача билетов с 06.12.2022 года с 10-00 до 18-00 ( перерыв с 13-00 до 14-00 ), пятница с 10-00 до 16-00 ( перерыв с 13-00 до 14-00 ). Для получения билетов необходимо предъявить паспорт с регистрацией на территории нашего муниципального образования и св-во о рождении ребенка если ребенок не вписан в паспорт.;0
"В период с 11 по 27 ноября в МО Балканский был организован творческий конкурс "" Я и моя мамочка лучшие друзья"". В конкурсе приняли участие 62 ребёнка. Всё работы  получились яркими, красочными, разнообразными, но в каждой чувствовалась любовь к самому дорогому человеку на свете- к своей мамочке.";0
01.12.2022 в помещении МО Балканский прошел мастер-класс по росписи новогодних шаров. Все участники смогли почувствовать себя в роли художника и собственноручно расписали ёлочные шары, а также погрузились в атмосферу праздника. Каждый участник создал свой неповторимый шедевр, и по завершении мастер- класса унес домой хорошее настроение и неповторимую новогоднюю игрушку.;0
