date;id;text;views.count;likes.count;reposts.count;type;link;post_id;parents_stack
2024-05-09 10:31:07;12211;Поздравляем с днём Победы! Выкладывайте фото свои родных. Вспомним великое поколение Победителей.;1069.0;24;0.0;post;;;
2024-04-19 20:06:36;12200;А Вы уже успели убрать зимнюю одежду?;1278.0;16;0.0;post;;;
2024-04-08 07:00:01;12188;Из-за работ по строительству складской улицы, та её часть, которая была сдана в 2023 году, уже приходит в негодность. Если ничего с этим не сделать сейчас, следующей зимой образовавшиеся трещины заполнятся водой, которая при замерзании вывернет асфальт вместе с бордюрами.;2010.0;6;0.0;post;;;
2024-03-24 17:46:11;12174;Экстренные службы ещё на месте;1256.0;4;0.0;post;;;
2024-03-24 16:04:51;12173;В ТЦ Лондон Молл въезд закрыт. На подъездах дежурят росгвардия, скорая и пожарные.;1600.0;3;25.0;post;;;
2024-03-19 09:02:00;12162;ЗдравствуйтеНедавно опять увидела непонятный рекламный плакат на жилом доме! Мaло тoго чтo oни вeшают свои постеры где попaло бeз соглaсoвания с жильцами, ну так ещё и закрывают вид из окон! Скоро вообще весь дом заделают!  Это действие не только портит внешний вид нашего района, но и создает беспорядок и загрязнение. Полиция сказала, что займётся этим ещё неделю назад, но результата пока что нету. Надеюсь, что мои слова не останутся без внимания и будут приняты к сведениюИ может знaeт кто-нибудь кто эту чушь ходит расклеивает?;2096.0;5;0.0;post;;;
2024-03-13 18:48:04;12156;А метро?;670.0;2;1.0;post;;;
2024-03-08 14:55:37;12151;Дорогие, милые женщины с праздником Вас!;593.0;5;0.0;post;;;
2024-02-26 16:55:06;12144;"Организация трамвайной остановки и ""выделенки"" на Народной улице  Соседи, после моего недавнего поста (https://t.me/dnlvrnn/1809) собрал положительные реакции в разных районных группах на предложение об организации трамвайной остановки на Народной улице сразу после моста. Остановка там давно напрашивается. Расстояние между остановками ""станция метро ""Ломоносовская"""" и ""Народная улица""составляет 1,84 км(!). Обычно на такой дистанции располагаются станции метро, но никак не обычный трамвай.  Вернуть остановку сразу после моста не составит труда, так как на пешеходном переходе через Народную улицу обустроены островки безопасности. Ширина каждого островка — 1,8 метров. Минимально возможная ширина трамвайной платформы составляет 1,5 метров. Соответственно, безопасная трамвайная остановка с посадкой-высадкой людей на трамвайную платформу, а не на проезжую часть, вполне конструктивно помещается.  Помимо этого я бы предложил организовать выделенную полосу под общественный транспорт. На Народной улице проходит 3 троллейбусных и 13 автобусных маршрутов. Именно для того, чтобы пассажиры не стояли в пробках, а могли быстро и предсказуемо передвигаться на общественном транспорте, нужно создать выделенную полосу.  Ниже приложен файл с шаблоном обращения.  Куда можно отправить обращение?  Например, в Комитет по транспорту и Комитет по развитию транспортной инфраструктуры. Также я бы предложил всем желающим продублировать обращение на имя губернатора Беглова и вице-губернатора, курирующего вопросы транспорта, Полякову. Сделать это можно через электронную приемную: https://letters.gov.spb.ru/reception/form/. Дополнительно можно отправить обращение через официальную страницу губернатора Беглова в Вконтакте: https://vk.com/a_beglov. Просто пишите в личные сообщения.  Также данную идею можно отправить своему депутату в Законодательном Собрании. На данной территории депутатом является Авдеев Юрий Васильевич (ЕР). Помимо него обращение можно отправить в комиссию по транспорту при ЗакСе. Сделать это можно на сайте ЗакСа: https://www.assembly.spb.ru/article/1083/154526/";389.0;6;1.0;post;https://t.me/dnlvrnn/1809);;
2024-02-26 16:25:16;12142;Задымление в районе ТЭЦ.;1391.0;2;0.0;post;;;
