,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,date,id,Текст,views.count,likes.count,reposts.count,type,link,post_id,parents_stack,Район,Street,Score,Numbers,initial_street,Toponims,full_street_name,location_options,addr_to_geocode,only_full_street_name,Location,geometry,other_geo_obj,geo_obj_tag,cats,probs
0,567,567,1173,15315,2022-12-30 18:30:33,32175,"Нравятся летние мероприятия в парке, кино!!! и спортивные занятия. Замечательная площадка на Бухарестской 86. Настольные игры и ребята из молодежного совета! Ужасно разочаровала нехватка и дикий ажиотаж с билетами на спящую красавицу. Пожалуй, это единственный раз за время работы мо в новом составе, когда количество недовольных превысило довольных.",,4,,comment,,32173.0,,Фрунзенский,бухарестской,0.989,86,Бухарестской,,Бухарестская улица 86 Санкт-Петербург Россия,['Бухарестская улица 86 Санкт-Петербург Россия'],Бухарестская улица 86 Санкт-Петербург Россия,Бухарестская улица,"86 к1, Бухарестская улица, округ № 72, Санкт-Петербург, Северо-Западный федеральный округ, 192238, Россия",POINT (30.388553464608886 59.8640008),,street,Другое,0.985
1,568,568,1200,15343,2022-12-31 06:59:48,32192,"Ой,с Луной Владислава Васильева!!!👍👍👍👍👍👍👍👍👍👍",,2,,comment,,32144.0,,Фрунзенский,васильева,0.801,,Васильева,,улица Васильева  Санкт-Петербург Россия,['улица Васильева  Санкт-Петербург Россия'],улица Васильева  Санкт-Петербург Россия,улица Васильева,"улица Васильева, Комарово, Санкт-Петербург, Северо-Западный федеральный округ, 197733, Россия",POINT (29.8288275 60.1844099),,street,Другое,0.985
2,569,569,1235,15378,2022-12-28 13:32:17,32026,Позор🙈🙈🙈и это вы считаете нормальная детская площадка 😏 Почему на другой стороне Пражской во дворах есть Хорошо оборудованные площадки ещё и покрытие сделаны.А это  один кошмар и позор.,,1,,comment,,32022.0,,Фрунзенский,пражской,,,Пражской,,Пражская улица  Санкт-Петербург Россия,['Пражская улица  Санкт-Петербург Россия'],Пражская улица  Санкт-Петербург Россия,Пражская улица,"Пражская улица, округ № 72, Санкт-Петербург, Северо-Западный федеральный округ, 192071, Россия",POINT (30.3886594 59.8745003),,street,Другое,0.985
7,574,574,1269,15412,2022-12-28 13:47:51,32034,Хотелось бы площадку на Софийской. А то снесли и ничего в замен!!,,0,,comment,,32022.0,,Фрунзенский,софийской,,,Софийской,,"Софийская площадь  Санкт-Петербург Россия,Софийская улица  Санкт-Петербург Россия","['Софийская площадь  Санкт-Петербург Россия', 'Софийская улица  Санкт-Петербург Россия']",Софийская площадь  Санкт-Петербург Россия,Софийская площадь,"Софийская площадь, София, Пушкин, Санкт-Петербург, Северо-Западный федеральный округ, Россия",POINT (30.393819703189873 59.7052558),,street,Дороги,0.802
8,575,575,1269,15412,2022-12-28 13:47:51,32034,Хотелось бы площадку на Софийской. А то снесли и ничего в замен!!,,0,,comment,,32022.0,,Фрунзенский,софийской,,,Софийской,,"Софийская площадь  Санкт-Петербург Россия,Софийская улица  Санкт-Петербург Россия","['Софийская площадь  Санкт-Петербург Россия', 'Софийская улица  Санкт-Петербург Россия']",Софийская площадь  Санкт-Петербург Россия,Софийская улица,"Софийская площадь, София, Пушкин, Санкт-Петербург, Северо-Западный федеральный округ, Россия",POINT (30.393819703189873 59.7052558),,street,Дороги,0.802
9,576,576,1269,15412,2022-12-28 13:47:51,32034,Хотелось бы площадку на Софийской. А то снесли и ничего в замен!!,,0,,comment,,32022.0,,Фрунзенский,софийской,,,Софийской,,"Софийская площадь  Санкт-Петербург Россия,Софийская улица  Санкт-Петербург Россия","['Софийская площадь  Санкт-Петербург Россия', 'Софийская улица  Санкт-Петербург Россия']",Софийская улица  Санкт-Петербург Россия,Софийская площадь,"Софийская улица, Шушары, Санкт-Петербург, Северо-Западный федеральный округ, 192287, Россия",POINT (30.4471681 59.8204097),,street,Дороги,0.802
10,577,577,1269,15412,2022-12-28 13:47:51,32034,Хотелось бы площадку на Софийской. А то снесли и ничего в замен!!,,0,,comment,,32022.0,,Фрунзенский,софийской,,,Софийской,,"Софийская площадь  Санкт-Петербург Россия,Софийская улица  Санкт-Петербург Россия","['Софийская площадь  Санкт-Петербург Россия', 'Софийская улица  Санкт-Петербург Россия']",Софийская улица  Санкт-Петербург Россия,Софийская улица,"Софийская улица, Шушары, Санкт-Петербург, Северо-Западный федеральный округ, 192287, Россия",POINT (30.4471681 59.8204097),,street,Дороги,0.802
25,592,592,1287,15430,2022-12-28 21:18:32,32080,"Заметили, так и подумала, что идентичную поставили чтобы была как старая. Это лучше чем ничего. Ещё бы дорожки там отсыпали, хотя бы вокруг площадки. От площадки на Софийской 40 нашему кварталу ни холодно ни жарко, в этом квартале площадок и так больше всего.",,0,,comment,,32022.0,,Фрунзенский,софийской,0.984,40,Софийской,,"Софийская площадь 40 Санкт-Петербург Россия,Софийская улица 40 Санкт-Петербург Россия","['Софийская площадь 40 Санкт-Петербург Россия', 'Софийская улица 40 Санкт-Петербург Россия']",Софийская площадь 40 Санкт-Петербург Россия,Софийская площадь,"Софийская площадь, София, Пушкин, Санкт-Петербург, Северо-Западный федеральный округ, Россия",POINT (30.393819703189873 59.7052558),,street,Благоустройство,0.994
26,593,593,1287,15430,2022-12-28 21:18:32,32080,"Заметили, так и подумала, что идентичную поставили чтобы была как старая. Это лучше чем ничего. Ещё бы дорожки там отсыпали, хотя бы вокруг площадки. От площадки на Софийской 40 нашему кварталу ни холодно ни жарко, в этом квартале площадок и так больше всего.",,0,,comment,,32022.0,,Фрунзенский,софийской,0.984,40,Софийской,,"Софийская площадь 40 Санкт-Петербург Россия,Софийская улица 40 Санкт-Петербург Россия","['Софийская площадь 40 Санкт-Петербург Россия', 'Софийская улица 40 Санкт-Петербург Россия']",Софийская площадь 40 Санкт-Петербург Россия,Софийская улица,"Софийская площадь, София, Пушкин, Санкт-Петербург, Северо-Западный федеральный округ, Россия",POINT (30.393819703189873 59.7052558),,street,Благоустройство,0.994
27,594,594,1287,15430,2022-12-28 21:18:32,32080,"Заметили, так и подумала, что идентичную поставили чтобы была как старая. Это лучше чем ничего. Ещё бы дорожки там отсыпали, хотя бы вокруг площадки. От площадки на Софийской 40 нашему кварталу ни холодно ни жарко, в этом квартале площадок и так больше всего.",,0,,comment,,32022.0,,Фрунзенский,софийской,0.984,40,Софийской,,"Софийская площадь 40 Санкт-Петербург Россия,Софийская улица 40 Санкт-Петербург Россия","['Софийская площадь 40 Санкт-Петербург Россия', 'Софийская улица 40 Санкт-Петербург Россия']",Софийская улица 40 Санкт-Петербург Россия,Софийская площадь,"40 к2, Софийская улица, округ № 72, Санкт-Петербург, Северо-Западный федеральный округ, 192236, Россия",POINT (30.410498511967788 59.871363),,street,Благоустройство,0.994
