date;id;text;views.count;likes.count;reposts.count;type;link;post_id;parents_stack
2024-05-16 09:00:01;9901;Сквер Лидии Климент  — это замечательное место, которое недавно было торжественно открыто с новой детской площадкой,новым благоустройством и с посадкой молодых деревьев. Однако после прошедшей зимы стало ясно, что многие из этих деревьев не выжили и не прижились. Это, безусловно, вызывает вопросы о том, будет ли подрядчик восстанавливать погибшие растения и предусмотрено ли это в договоре.В случае если в договоре на благоустройство сквера прописаны условия относительно высадки и ухода за растениями, включая ответственность за их сохранность и восстановление в случае гибели, то подрядчик должен будет выполнить свои обязательства. Однако, если такие условия не были явно оговорены в договоре, может потребоваться дополнительное согласование действий заказчика- Администрации Адмиралтейского района И что будет в случае если сквер теперь  не соответствует проекту из-за гибели растений, ответственность за восстановление погибших и не прижившихся деревьев и кустарников обычно лежит на стороне, которая была ответственна за благоустройство сквера. Возможно, потребуется провести дополнительные действия и решить о дальнейших шагах по восстановлению сквера в соответствии с проектом.Вопрос зададим администрации-Кто отвечает за восстановление погибших и не прижившихся деревьев и кустарников?#жар#благоустройство#СкверКлимент#;87.0;8;0.0;post;;;
2024-05-15 09:15:00;9894;Немного юмора ....Когда уже не смешно, и не грустно...#жар#надоелаБукина#воздух#ресурсы#СПб;182.0;13;3.0;post;;;
2024-05-14 17:00:01;9887;УКРЫТИЯ, БОМБОУБЕЖИЩАКто обладает полным списком таких мест, выяснить, как оказалось, сложно...;236.0;14;2.0;post;;;
2024-05-14 09:27:00;9882;Видеозапись семинара от 11 мая 2024 года по проведению общего собрания собственников помещений в многоквартирном доме в заочной форме с использованием системы ГИС ЖКХ.;133.0;9;1.0;post;;;
2024-05-13 08:50:38;9880;Пожар в Кировском районе В МЧС по Санкт-Петербургу сообщили, что на открытой территории происходит горение паллетов на площади 500 кв.м. на Химическом переулке. К ликвидации пожара привлечено 4 единицы техники и 17 человек личного состава;198.0;6;1.0;post;;;
2024-05-11 14:44:59;9869;"КАПИТАЛЬНЫЙ РЕМОНТ ИЛИ КАПИТАЛЬНОЕ БЕЗРАЗЛИЧИЕ?!В доме ведётся капитальный ремонт - замена всех электросетей, относящихся к общедомовому имуществу МКД. Проще - все эл. сети в доме до вашего общего счётчика в вашей квартире.Я обратил внимание и в очередной раз убедился, что работники подрядчика ФКР особо себя не утруждают, как они полагают, лишней работой и не меняют старую проводку, состоящую в основном из разных материалов (в скрутке медь с алюминием вместе) вводы в те квартиры где, якобы, им не открывают двери жители, в т.ч. и жители коммунальных квартир. При этом ни для кого не секрет, что как раз в коммунальных квартирах самая старая и аварийная проводка. И все знают, что в нашем городе большинство пожаров в старом фонде происходит из-за аварийной старой проводки, которую давно не ремонтировали, и, как правило, именно в коммунальных квартирах.В большинстве своём, в полностью раздолбанных коммуналках, собственники сами не живут, а сдают ""кому попало"". И что там происходит, кто живёт, какая проводка, какие трубы, в каком техническом состоянии всё находится, собственникам пофиг, впрочем, как и управляющей компании, и тем более подрядчикам Фонда капитального ремонта.Поэтому, чтобы элементарно не сгореть, приходится с руганью, чуть ли не силой, заставлять работников УК и ФКР делать качественно свою работу, при этом собственники, сдающие своё жильё или просто не открывающие дверь специалистам, - не отвечают за последствия своего отказа от проведения капремонта эл.сетей ⁉ Вот и приходится активным жителям, как я, тратить своё время и нервы, чтобы наладить процесс капремонта в МКД. Так, рано утром, часов в 8-00, пока ещё кто-то дома, я собираю вместе домоуправа с УК, доблестных работников подрядчика ФКР и вместе с ними хожу по всем коммуналкам в доме, звоню, стучу, кричу в щель двери, чтобы открыли... И, увы, это уже считается нормой😡А у подрядчика ФКР всё давно отработано: не пустили в квартиру - составляют акт и/или подделывают подписи об отказе. И они хорошо знают, что работы всё равно обязательно примут и деньги они обязательно получат за фактически невыполненную работу.Ещё меня мучает вопрос❓А как заставить самих господ - собственников в коммуналках сделать ремонт хотя бы электропроводки у себя в комнатах и местах общего пользования!!!???Так и живём .Как думаете.Русский авось? Некомпетентность ? Коррупция?Ещё удивляемся, почему так часто горят дома в городе?И Главное! Потом всё равно придётся восстанавливать, но уже за другие колоссальные ДЕНЬЖИЩИ !!!!";387.0;15;2.0;post;;;
2024-05-08 00:02:00;9863;"ВОЙНА и ПЛЕН... ГЕРОИЗМ и ПРЕДАННОСТЬ ПРОФЕССИИ!Так кратко можно описать жизнь Георгия Федоровича Синякова - советского хирурга, кандидата медицинских наук, заслуженного врача РСФСР, участника Великой Отечественной войны, спасавшего в концлагере в Кюстрине (Польша) пленных (будучи членом лагерного подполья, оформлял в госпитале концлагеря документы на них как на умерших и организовывал побеги), а после освобождения концлагеря, вместе с нашими войсками дошёл до Берлина и расписался на здании Рейхстага!Однако заслуженная слава пришла к нему только в 1961 г., когда после публикации в СМИ статьи об одной из советских летчик, попавшей в плен, и которую спас лагерный врач - Георгий Федорович. В это время доктор спасал жизни пациентов, работая в Челябинской больнице с 1946 г., уже после Великой Победы советского народа. В начале войны, 23 июня 1941 г., врач был призван в действующую армию, работал в медицинских учреждениях Ростовской области. С июня по октябрь 1941 — ведущий хирург медико-санитарного батальона на Юго-Западном фронте, военврач 2 ранга 119-го санитарного батальона 171-й стрелковой дивизии. 5 октября 1941 года в районе села Борщёвка(под Киевом) вместе с ранеными бойцами попал в плен и был помещён сначала в лагеря Борисполя и Дарницы, а с мая 1942 года в Кюстринский международный лагерь военнопленных в 90 километрах от Берлина (Шталаг III-A; лагерный номер 97625).В Кюстринском лагере он был назначен хирургом в лазарет (так называемый ревир), где блестяще выдержал «экзамен», на глазах немецких лагерных врачей во главе с доктором Кошелем, а также французских, английских и югославских специалистов из числа заключённых проведя резекцию желудка.Провёл множество операций, неустанно оперируя многочисленных больных. Верный клятве Гиппократа, Синяков оперировал и немцев — так, он спас сына гестаповца, задыхавшегося от попавшего в трахею постороннего предмета (по одной из версий, мальчик подавился костью). Так доверием к хирургу прониклась охрана лагеря, и доктор смог передвигаться по лагерю свободно, бывать там, куда пленных не пускали, что впоследствии помогло в подпольной деятельности. Также он получил усиленный паёк, которым делился с ранеными: обменивал сало на хлеб и картошку, которой можно было накормить большее число заключённых.Вместе с немецким переводчиком, капралом Гельмутом Чахером, сочувствовавшим русским (он учился в СССР, был женат на русской женщине Клавдии Алексеевне Осиповой, с которой перед войной приехал в Германию), помог множеству пленных сбежать: Чахер, хорошо знающий местность, разрабатывал маршрут побега из Кюстрина, рисовал карту, которая вручалась вместе с часами и компасом тем, кто решился на побег. Чаще всего Георгий Фёдорович использовал имитацию смерти: он научил больных притворяться умершими, констатировал смерть, «труп» вывозили с другими действительно умершими и сбрасывали в ров неподалёку, где пленный «воскресал».В январе 1945 года, когда советские войска уже приближались к лагерю, он был расформирован: узников разделили на три части — одних погрузили в эшелоны для отправки в Германию, других погнали пешком через замёрзший Одер, а третью группу численностью около 3 000 больных и раненых, оставили в лагере, где их должны были уничтожить солдаты СС. Синяков через переводчика убедил солдат не уничтожать пленных, и лагерь был оставлен без единого выстрела. Вскоре в лагерь вошли советские танки — группа майора Ильина из 5-й ударной армии генерала Берзарина, и Синяков организовал в лагере полевой госпиталь, за несколько суток прооперировав более семидесяти танкистов... Победу великий Человек и Хирург встретил в Берлине!#жар#Великаяпобеда#9мая#героивойны";246.0;11;1.0;post;;;
2024-05-06 17:27:00;9853;КРЫСЫ В ГОРОДЕ! Причины бурного роста поголовья крыс в городе и как с этим бороться? На эти и другие вопросы постарались ответить специалисты и активные петербуржцы... А вы как считаете?Ранее мы писали об этой проблеме https://vk.com/gharadmiral?w=wall-175210226_9686 https://vk.com/gharadmiral?w=wall-175210226_9608#жар#надоелаБукина#Адмиралтейскийрайон;279.0;13;0.0;post;https://vk.com/gharadmiral?w=wall-175210226_9686;;
2024-05-06 09:00:01;9843;"«ЖКХ РОССИИ» - БЕЗРАДОСТНОЕ НАСТОЯЩЕЕ И ТРЕВОЖНОЕ БУДУЩЕЕСтараюсь посещать выставки ЖКХ, поэтому не пропустил и прошедшую недавно выставку ""ЖКХ России"", в которой присутствовали представители отрасли из Москвы и регионов: управляющие компании, поставщики ресурсов и коммунальной техники, монополисты, чиновники.Так, Светлана Разворотнева (заместитель председателя комитета Государственной Думы по строительству и ЖКХ) обозначила вопрос лицензирования и стандартизации работы управляющих компаний на базе СРО (саморегулирующих организаций).Полагаю, тема замены работы государственных ГЖИ на СРО вызывает множество неприятных вопросов без четких ответов, касающихся надежной защиты интересов потребителей. Особенно, когда разрыв интересов между собственниками, потребителями услуг ЖКХ и поставщиками этих услуг с каждым годом только всё увеличивается, т.к. цены и качество поставляемых услуг находятся, почему-то, в обратно пропорциональной зависимости: чем выше цена, тем ниже качество.❗Уверен, что взносы в возможное СРО увеличат размер сумм в квитанции, поэтому мой вывод от услышанного, как в известной басне: ""А вы друзья как не садитесь, Все в музыканты не годитесь"".Я считаю, что причины проблем в этой сфере всё те же - отсутствие профессиональных кадров, недостаточный контроль со стороны государственных органов и, конечно же, коррупция. При этом резкое ухудшение материальных возможностей потребителей в связи с ростом цен на все продукты и услуги в стране, что позволило управляющим компаниям придумать отговорку, мол, как платят, так и работаем. В итоге, замкнутый круг, однако никто об этом на форуме, к сожалению, не говорил.По проблемам капитального ремонта и схемы проведения реставрационных работ по прорграмме КГИОП ""Наследие"" пообщался с вице-губернатором по ЖКХ Разумишкиным Евгением Николаевичем и обозначил проблему отсутствия эффективного взаимодействия, диалога и координации во время проведения работ между подрядчиками, проектами и региональной программой Фонда капитального ремонта, самим Фондом, КГИОП, Дирекцией заказчика КГИОП, управляющими компаний и с самими собственниками недвижимости в доме, где планируются или уже ведутся работы. Я также отметил, что администрация района недостаточно участвует в этом процессе и привел пример, как ведутся работы в МКД по адресу: Пушкинская, 20. Евгений Николаевич со мной согласился, назвал это большой проблемой, требующей контроля и решения, и пообещал взять адрес (Пушкинская, 20) под личный контроль.Что ж, будем надеяться на лучшее и ФЗ ""Об основах общественного контроля в РФ"" от 21.07.2014 N 212-ФЗ нам в помощь😉#ЖАР#ЦентральныйРайонСПб#Петербург#ФондКапРемонта#КГИОП#ОКН";309.0;14;2.0;post;;;
2024-05-04 09:00:01;9820;КАПИТАЛЬНЫЙ Ремонт ВИТЕБСКОГО ВОКЗАЛА с 2018 года ,прошло 6 лет, а состояние фасада плачевное.#жар#витебскийвокзал#СПб#Адмиралтейскийрайон#;348.0;24;1.0;post;;;
