;Unnamed: 0;date;text;label_cat;loc_dist;loc_for_geocoding;source;source_cf;latitude;longitude;geometry;index_right;NAME
1;20.0;2022-02-23;Страшно ездить во дворе. Ещё пару дней и можно будет только на автомобиле с гусеничным движителем заехать. Реакция конечно на обращения есть, но почему нельзя это делать не после обращения, а в качестве обычной ежедневной работы, путём расстановки приоритетов, чтобы не писали люди что всё плохо. В суд подавать когда случайно из-за того, что творится во дворах, задену чей-нибудь автомобиль. Делайте для граждан, вы для этого и есть, а не граждане для вас.;Дороги;Пушкинский;Колпинское ш 28к1, Санкт-Петербург;ПОС;1.0;59.7343341;30.4696209;POINT (30.4696209 59.7343341);23.0;Шушары
2;21.0;2022-02-23;В этом году ни разу не проводилась Уборка территории вокруг дома. Вся Уборка (фото прилагаю) производится силами жильцов, как и обработка ото льда. Прошу 1. разобраться какая организация не проводит вообще никаких работ и когда они начнут регулярно проводиться 2. Я не получил на своё ответное обращение связанное с необходимостью обратиться в прокуратуру с заявлением на организацию, которая прислала фото, по моему ранее оставленному заявлению на эту же тему, с отчётом об уборке совершенно от другого адреса и тем самым фальсифицировала результаты своей деятельности и возможно получила за это деньги;Дороги;Красногвардейский;6-я Жерновская ул 9к1, Санкт-Петербург;ПОС;1.0;59.9639645;30.4930543;POINT (30.4930543 59.9639645);102.0;Ржевка
3;22.0;2022-02-23;Не числятся проезды вдоль дома, нет посылки. За всю зиму один раз трактор проехал после нового года и все. Не посыпались ни разу. Это же невыносимо уже! Что происходит?;Транспорт;Красносельский;Красное Село, Санкт-Петербург;ПОС;1.0;59.7337668;30.0862455;POINT (30.0862455 59.7337668);17.0;Красное Село
4;23.0;2022-02-23;Здравствуйте, дороги скользкие, невозможно дойти до помойки, скользко, сколько это может продолжаться?;Дороги;Невский;Ольминского ул, Санкт-Петербург;ПОС;1.0;59.8969306;30.4184078;POINT (30.4184078 59.8969306);43.0;Невская застава
5;24.0;2022-02-23;Не убраны снег и лёд между двумя зданиями паркинга по адресу Школьная 73, к.2 В ответ на обращение 174911658 сообщаю, что работ по уборке снега и льда не было.;Дороги;Приморский;Школьная ул, Санкт-Петербург;ПОС;1.0;59.9884246;30.2922899;POINT (30.2922899 59.9884246);56.0;Чёрная речка
8;27.0;2022-02-23;НЕ УБИРАЮТ СНЕГ ВО ДВОРАХ ,УЛИЦА ИВАНОВСКАЯ 36,пройти не возможно .весь снег свалили в одни кучи и теперь эти кучи тают и во дворах все плавает.Почему так сложно сделать все нормально .Приходит жэк и для вида делает фотоотчет какой то маленькой террритории,а то что весь двор не убран -это он на фото не покажет .за что мы платим деньги ?за такую уборку?;Дороги;Колпинский;Ивановская ул 36, Санкт-Петербург;ПОС;1.0;59.8718351;30.4347406;POINT (30.4347406 59.8718351);91.0;Ивановский
9;28.0;2022-02-23;Не очищена парковка, образовалось колея в которой заостряют автомобили, вечером сильно шумят, как и днём.;Дороги;Кировский;Маршала Жукова пр-т, Санкт-Петербург;ПОС;1.0;59.8256332;30.189795;POINT (30.189795 59.8256332);34.0;Ульянка
10;29.0;2022-02-23;Снег не убран у школы 34. Не пройти не проехать;Дороги;Невский;Шотмана ул 12к3, Санкт-Петербург;ПОС;1.0;59.8998587;30.4755751;POINT (30.4755751 59.8998587);100.0;№ 54
11;30.0;2022-02-23;Не убирается снег на придомовой территории по адресу Шотмана д4;Дороги;Невский;Шотмана ул 4, Санкт-Петербург;ПОС;1.0;59.9009231;30.4746235;POINT (30.4746235 59.9009231);100.0;№ 54
12;31.0;2022-02-23;Здравствуйте! Не убирается внутридворовая проезжая территория на улице Гаккелевская д.27/2. Прошу решить эту проблему. Спасибо.;Дороги;Приморский;Гаккелевская ул 27к2, Санкт-Петербург;ПОС;1.0;60.0031867;30.258668;POINT (30.258668 60.0031867);50.0;Озеро Долгое
13;32.0;2022-02-23;Просто не проехать! О разъезде двух автомобилей и речи нет!;Дороги;Красносельский;Добровольцев ул 18, Санкт-Петербург;ПОС;1.0;59.8393643;30.1702093;POINT (30.1702093 59.8393643);32.0;Урицк
14;33.0;2022-02-23;Проезд перед домом не убирали за зиму ни разу!!!! Толщина льда на поверхности больше 30 см. Образовалась колея в которой застревают машины. Моя мама подскользнулась там и сломала руку. Ужасная ситуация. Срочно примите меры!;Дороги;Красносельский;Гвардейская ул 8к2, Санкт-Петербург;ПОС;1.0;59.7351939;30.0860001;POINT (30.0860001 59.7351939);17.0;Красное Село
