;text
0;"Подписывайтесь на наш Telegram-канал https://t.me/tipkhimki

Там сплошные плюсы: новости о Химках оперативнее, а еще бывает эксклюзив, который здесь не опубликовать 😉"
1;"‼️Сегодня, 25 апреля, в парке «Дубки» проведут обработку от клещей

А сегодня ночью акарицидную обработку также провели в сквере Рубцовой и «Химкинский Арбат». 

Поэтому лучше воздержаться от посещения этих зелёных зон в течение всего дня."
2;"Начнем день с шикарного улова: вот такая рыбина у нас водится в речке Сходня 😱

Фото - Степан Глазко"
3;"Приветствуем вас! 👋 
Мы — Телеком-СД, команда профессионалов, для которых безопасность вашего дома и бизнеса стоит на первом месте. Каждый проект для нас — это вызов, который мы принимаем с полной отдачей и вниманием к каждой детали.

🔒 Что мы можем для вас сделать?
* Защитить ваш дом, офис или предприятие от нежелательных гостей.
* Обеспечить полный контроль за происходящим в любое время и из любой точки мира.
* Установить под ключ: системы видеонаблюдения, СКУД, видеодомофонии, шлагбаумы, умные дома, а также бесшовный Wi-Fi под ваши задачи и бюджет.

🛠 Наши услуги включают:
* Профессиональную установку систем ""под ключ"".
* Полное сопровождение: от подбора оборудования до финальной настройки и сдачи объекта.
* Гарантию на выполненные работы и установленное оборудование.

Мы работаем только с проверенными решениями и выполняем монтаж качественно, быстро и аккуратно. Наша цель — ваше спокойствие и уверенность в безопасности.

📍 Работаем по Москве и МО
 📞 Контактный телефон: 7 (499) 110-52-65 
📱 Telegram: t.me/telecomsd 
🌎 Веб-сайт: telecom-sd.ru

Peклaмa | ООО Телеком-СД | ИHH 7743291514 | 2VtzqHjnDwe"
4;"Ночной чат!
Какой сериал из недавно вышедших вам очень понравился?"
5;"Очередного химкинского пенсионера обманули на 4 миллиона рублей 🙈

На домашний телефон 76-летнего химчанина позвонил человек, представившийся сотрудником Центробанка. Лжебанкир виртуозно сыграл на страхах пожилого человека, рассказав историю о том, что неизвестные пытаются перевести его сбережения на счета ВСУ. Хитрец убедил пенсионера, что деньги якобы удалось ""заморозить"", но для их сохранения необходимо снять все сбережения и передать курьеру.

Дедушка подвоха не заподозрил и отдал почти 4 млн ₽ молодому человеку 20 лет, который как по заказу появился у его дома. Только спустя время пенсионер осознал, что стал жертвой мошенников, и обратился в полицию.

Финал для афериста наступил уже в Красногорске, где его задержали оперативники. При обыске у подозреваемого обнаружили мобильный телефон с детальной инструкцией по обману граждан. Выяснилось, что парень откликнулся на ""работу курьером"" в интернете — с ним связались работодатели и ""научили"" забирать деньги у доверчивых жителей и переводить их на криптокошельки. Себе работник оставлял процент от суммы с каждого перевода.

Правосудие не заставило себя ждать — злоумышленника заключили под стражу."
6;❗️Во дворе домов Пролетарская 12/15 - Энгельса 11 мужик на Форде посносил мелкие заборы, и припарковался у детской площадки. Приехало 2 машины ДПС. Территорию оцепили.
7;"Пока ждешь в Ховрино автобус до Химок, можно послушать внезапный концерт 🎵

Как красиво!"
8;"❗️Сбит мальчик в старых Химках!

ЧП произошло на пересечении Спартаковской и Калинина, прям на пешеходном переходе, сегодня днем.

Бедолагу увезли на скорой в больницу"
9;"Вакансия! В стабильно развивающуюся компанию требуются сотрудники на должность упаковщика товаров! 

Наше направление - продукты питания! 

Располагаемся в районе Куркино в пешей доступности от новых Химок. 

Присоединяйтесь к нашей команде и станьте частью успешной компании!
Оплата 65000-85000 руб/мес
- https://hh.ru/vacancy/119640573?hhtmFrom=main
- тел: 89150900400"
